Título,Autor,Ano de publicação,Número de páginas
O caçador de pipas,Khaled Hosseini,2003,368
A hora da estrela,Clarice Lispector,1977,88
Quem tem medo do escuro,Sidney Sheldon,2004,320
Antes da meia noite,Sidney Sheldon,1973,352
O outro lado da meia noite,Sidney Sheldon,1973,560
A redoma de vidro,Sylvia Plath,1963,234
A cidade do sol,Khaled Hosseini,2007,384
O silêncio das montanhas,Khaled Hosseini,2013,336
O dilema do porco espinho,Leandro Karnal,2021,160
Atire a primeira pedra,Harold Robbins,1953,240
